Smiles,IC50_nM,pIC50
C=CC(=O)N1CCC(N2C(=O)N(Cc3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)CC1,143.6,6.842845560093719
C=CC(=O)N1CCC(N2C(=O)N(c3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)C1,9.2,8.036212172654444
C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)CC1,99.6,7.001740661576301
C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2O[C@H]2CCOC2)CC1,492.0,6.308034897232639
C=CC(=O)N1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2O[C@H]2CCOC2)CC1,818.0,6.087246696328677
C=CC(=O)N1CCC(Oc2nc(Nc3ccc(CN4CCC(CO)CC4)cc3)ncc2Cl)CC1,12.3,7.910094888560602
C=CC(=O)N1CCC(Oc2nc(Nc3ccc(N(C)CCN(C)C)cc3OC)nc3[nH]ccc23)CC1,7.696,8.113734940970243
C=CC(=O)N1CCC(Oc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC)nc3[nH]ccc23)CC1,31.35,7.503762454833264
C=CC(=O)N1CCC(Oc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC)nc3ccsc23)CC1,20.23,7.694004117229195
C=CC(=O)N1CCC(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)CC1,13.42,7.872247484167026
C=CC(=O)N1CCC(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3ccsc23)CC1,10.32,7.986320302708807
C=CC(=O)N1CCC(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)ncc2Cl)CC1,9.6,8.017728766960431
C=CC(=O)N1CCC(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3[nH]ccc23)CC1,5.681,8.245575210722741
C=CC(=O)N1CCC(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccsc23)CC1,4.902,8.30962669308394
C=CC(=O)N1CCC(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)ncc2Cl)CC1,20.1,7.696803942579511
C=CC(=O)N1CCC(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)nc3[nH]ccc23)CC1,12.32,7.909389292171594
C=CC(=O)N1CCC(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)nc3ccsc23)CC1,14.2,7.847711655616943
C=CC(=O)N1CCC(Oc2nc(Nc3ccc(N4CCN(CCO)CC4)cc3)ncc2Cl)CC1,42.06,7.376130731649698
C=CC(=O)N1CCC(Oc2nc(Nc3ccc(N4CCOCC4)cc3)nc3ccsc23)CC1,6.532,8.18495382393537
C=CC(=O)N1CCC(Oc2nc(Nc3ccc(N4CCOCC4)cc3OC)nc3ccsc23)CC1,9.664,8.014843078722944
C=CC(=O)N1CCC(Oc2nc(Nc3ccn(C)n3)nc3ccsc23)CC1,126.0,6.899629454882437
